numTopics	unigram	bigram	uni+bigram
5	429.135237123	2617.26299718	1693.59714312
10	393.199728991	2167.12514111	1511.34555677
15	375.962779854	1996.56185605	1369.91305972
20	367.835462249	1830.92925901	1325.97625999
25	361.143179881	1767.80799254	1290.69138228
30	356.142814219	1678.44647088	1229.47810501
35	349.269956781	1628.09435746	1180.97131717
40	344.040688825	1571.32259918	1146.98505982
45	340.096341174	1539.46762906	1121.2768438
50	335.689484235	1518.68448669	1111.2045546
